"","Binomial","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Acanthurus_lineatus","Acanthurus_lineatus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.156845115271745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthurus_nigricans","Acanthurus_nigricans",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00744977466392038,-0.00744977466392033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthurus_nigrofuscus","Acanthurus_nigrofuscus",20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.106282067664872,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356519013243536,-0.0160216620428078,0.00144048900448887,0.02215515108662,0.0465531306300896,0.0657418956196797,NA,-0.0248987341812076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthurus_tractus","Acanthurus_tractus",175,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00687315869323656,0.0535747228606092,0.0160218464286272,0.0134257617075621,0.0787933406694887,0.00782956161990414,-0.0153990170219078,NA,NA,NA
"Acanthurus_xanthopterus","Acanthurus_xanthopterus",49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261873016206179,-0.0145845238314258,-0.16714382383019,-0.26568139405367,-0.215730623883988,-0.021325503134238,0.192779694007161,0.271418051819207,0.170706797222741,0.00831617345582476,-0.0491624611469022,0.0421023752086625,0.157873720550683,0.145444480619289,-0.00205099210322701,-0.139633317958185,NA
"Acarichthys_heckelii","Acarichthys_heckelii",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.500602350569185,-0.102662341897148,0.238882088915137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaronia_nassa","Acaronia_nassa",24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.546051291692118,-0.402243603563018,-0.165784273369685,0.0625316093847232,0.207304544671589,0.262572977988311,0.270902789069489
"Accipiter_badius","Accipiter_badius",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0374060002856954,-0.0374060002856954,-0.0374060002856954,-0.0374060002856953,-0.0374060002856954,-0.0374060002856954,-0.0374060002856954,-0.0374060002856953,-0.0374060002856954,-0.0374060002856953,-0.0374060002856954,-0.0374060002856954,-0.0374060002856954,-0.0374060002856953,-0.0374060002856955,-0.0374060002856953,-0.0374060002856953,-0.0374060002856955,-0.0374060002856953,-0.0374060002856953,-0.0374060002856953,-0.0374060002856955,-0.0374060002856953,NA
"Accipiter_cooperii","Accipiter_cooperii",334,1,0.00936481619942473,0.00907576446059784,0.00857933500143449,0.00537164022843085,0.00774881873675861,0.00755153165591483,0.00765876579816766,0.00795412390938354,0.00828831128437294,0.00854383856337008,0.00865623721030072,0.00865008615536663,0.00863372518144136,0.00868174079673937,0.00872050671586419,0.00857661118505422,0.00816169396123331,0.00754893339681627,0.00684286268720567,0.00604451354537007,0.00510370091270152,0.00405593051689166,0.0030350339859985,0.00217791690163967,0.0015939193457739,0.00140871041595291,0.00172684594229994,0.0025021098650278,0.00351388929483224,0.00453238928566934,0.00546836410543435,0.00631185297791185,0.00697890775845169,0.00732477259783752,0.00706252804217578,0.00692278668389443,0.00682578981718057,0.00144853676228018,0.00147920834441847,0.00150417245539585,0.00152204462670533,0.00153211339051056,0.00153583966764977,0.00153639495391187,NA,NA,NA
"Accipiter_gentilis","Accipiter_gentilis",354,1,0.00461706219008975,0.00461847654368284,0.00253064156219213,0.00253110731234391,0.00253229174467282,0.016898216074106,0.0161118846401811,0.0135317778127157,0.0118786308917725,0.0117573891753548,0.00968716036179019,0.0102722669963597,0.0103032926885593,0.00951629943283125,0.00836776918861568,0.0116321023500473,0.0127962617470301,0.013605995464651,0.01545675803267,0.0171823059861126,0.0144574981346864,0.0121415696752686,0.00609789077455299,0.00466544158759768,0.00488459988196491,0.00152507635087765,0.00224192970885047,0.00243328059101729,0.0035020664017264,0.00251814189584723,0.00931436024185648,0.00858435826333548,-0.00955578732520158,0.0173717695743641,-0.0562320697302285,0.0300175218017767,-0.0812208349982023,0.00551041743314275,0.00545048814170227,0.00540754697624727,0.00538013005732248,0.00536477754085842,0.00801220421110724,0.00800928907392302,NA,NA,NA
"Accipiter_nisus","Accipiter_nisus",327,1,0.170903623464084,0.0781433240891602,0.0836580665907968,0.0795572654903904,0.0650967302344828,0.0844164491651142,0.0169121609640528,-0.0209593202011736,-0.0100187195461332,0.017322128096154,0.0178673625803539,-0.0184699964245734,-0.0225879512712316,0.00720656516987181,0.0227045184781418,0.00764708923531892,-0.0108877045898008,0.000179258050167653,0.0306449245232111,0.0320367956572819,0.0189076037616341,0.0012578522691456,-0.00490836209803065,-0.0066226256853451,-0.00764867919037529,-0.0087178454191426,-0.0089400193554241,-0.00858968202005073,-0.00852075099847715,-0.00584347523387377,-0.00699040304530462,-0.0147248473680876,-0.0217351035970297,-0.0153164635803298,0.0277521015421546,-0.000962103961464255,-0.00038953028557108,-0.0101048173002502,-0.0076171298020075,0.0098596135504648,-0.00901806503581315,-0.00678283971463634,-0.00367820252008433,-2.55156975277337e-05,0.00234019799528595,0.00235826991021537,0.00140506887707592
"Accipiter_striatus","Accipiter_striatus",358,1,0.00372666369319985,0.00377341757052801,0.00397631078737937,0.00400933259710806,-0.00613345539111178,-0.00760058609418546,-0.00896676844754721,-0.00877789721984677,-0.00787780999099939,-0.00743115287652993,-0.00753947626366945,-0.00711049413030163,-0.00547816067328147,-0.00342636500008887,-0.00225053639335576,-0.00560381396834864,-0.00637913811894117,-0.00750962025669567,-0.00889634684706125,-0.0100180734281551,-0.00995180672839323,-0.00849599055123474,-0.00368619296700048,-0.00311984091815916,-0.00101685233797751,-0.00135075461758998,-0.00100712710377362,-0.0010414836996997,-0.00195402902649337,-0.00273874690279659,-0.00221434630386668,-0.000913533298757616,-0.00104575442322116,-0.0046128716849306,-0.0118746482588692,-0.0122869426206021,-0.0222376806620203,-0.0272558721005387,-0.0245610400054771,0.0972160062317902,-0.00618909217002057,-0.00191405324070234,-0.00341756442040727,-0.00623836422656996,NA,NA,NA
