ID,min_year,max_year
1063,1967,1993
1067,1961,2000
1068,1965,1981
1070,1967,1993
1072,1967,1993
1073,1970,2014
1074,1968,1998
1075,1968,1997
1076,1970,1999
1077,1955,1995
1078,1991,1993
1079,1985,1997
1080,1997,1998
1081,1997,1998
1082,1977,1995
1083,1960,1991
1084,1974,1993
1085,1980,1997
1086,1985,1990
1087,1985,1995
1088,1971,1985
1089,1963,1981
1090,1995,2000
1091,1995,2000
1092,1995,2000
1093,1995,2000
1094,1995,2000
1095,1995,2000
1096,1995,2000
1097,1995,2000
1098,1995,2000
1099,1995,2000
1100,1995,2000
1101,1995,2000
1102,1995,2000
1103,1995,2000
1104,1995,2000
1105,1995,2000
1106,1980,1990
1107,1962,1984
1108,1970,1984
1109,1995,2000
1110,1950,1981
1111,1950,1981
1112,1995,2000
1113,1995,2000
1114,1995,2000
1115,1995,2000
1116,1995,2000
1117,1995,2000
1118,1995,2000
1119,1995,2000
1120,1972,1992
1121,1995,2000
1122,1995,2000
1123,1995,2000
1124,1995,2000
1125,1995,2000
1126,1995,2000
1127,1995,2000
1128,1995,2000
1129,1973,1988
1130,1995,2000
1131,1995,2000
1132,1964,1978
1133,1995,2000
1134,1995,2000
1135,1967,1990
1136,1995,2000
1137,1995,2000
1138,1995,2000
1139,1995,2000
1140,1972,1988
1141,1995,2000
1142,1995,2000
1143,1995,2000
1144,1995,2000
1145,1982,1988
1146,1990,1999
1147,1980,1990
1148,1983,1989
1149,1981,1986
1150,1981,1986
1151,1981,1986
1152,1981,1986
1153,1982,1986
1154,1981,1984
1155,1982,1988
1156,1982,1988
1157,1982,1993
1158,1975,1997
1159,1975,1995
1160,1973,1997
1161,1975,1997
1162,1970,1997
1163,1970,1995
1164,1980,1987
1165,1979,1988
1166,1979,1988
1168,1960,1977
1169,1975,1998
1170,1975,1998
1171,1974,2002
1172,1974,2002
1173,1975,1995
1174,1991,2000
1175,1991,2000
1176,1974,2002
1177,1975,1995
1178,1993,2002
1179,1974,2002
1180,1974,2002
1181,1975,1995
1182,1993,2002
1183,1991,2000
1184,1982,1992
1185,1975,1995
1186,1991,2000
1187,1974,2002
1188,1974,2002
1189,1993,2002
1190,1975,1995
1191,1974,2002
1192,1991,2000
1193,1974,2002
1194,1974,2002
1195,1975,1995
1196,1975,1995
1197,1992,2001
1198,1975,1998
1199,1970,1994
1200,1990,1995
1201,1974,2002
1202,1974,2002
1203,1993,2002
1204,1990,1995
1205,1990,1995
1206,1980,1995
1207,1980,1995
1208,1971,1985
1209,1985,1995
1210,1985,1995
1211,1970,1995
1212,1970,1995
1213,1952,1991
1214,1985,1995
1215,1980,1995
1216,1980,1995
1217,1985,1995
1218,1980,1995
1219,1985,1995
1220,1970,1990
1221,1971,1989
1222,1968,1991
1223,1952,1992
1224,1971,2002
1225,1962,2007
1226,1965,1994
1227,1980,1998
1228,1975,2002
1229,1973,1993
1230,1978,1995
1231,1988,1990
1232,1974,2002
1233,1991,2000
1234,1960,1985
1235,1974,2002
1236,1974,2002
1237,1993,2002
1238,1963,1981
1239,1954,1979
1240,1975,1998
1241,1974,2002
1242,1990,1995
1243,1974,2002
1244,1974,2002
1245,1975,1995
1246,1982,1994
1247,1982,1994
1248,1967,1988
1249,1960,1994
1250,1960,1997
1251,1965,1997
1252,1970,2000
1253,1979,1997
1254,1954,1997
1255,1970,1999
1256,1979,1994
1257,1980,1994
1258,1979,1994
1259,1979,1994
1260,1971,2005
1261,1979,1994
1262,1979,1994
1263,1979,1994
1264,1981,1994
1265,1979,1994
1266,1979,1994
1267,1979,1994
1268,1979,1994
1269,1974,2002
1270,1990,1995
1271,1974,2002
1272,1974,2002
1273,1975,1995
1274,1962,2004
1275,1974,2002
1276,1952,1995
1277,1957,1995
1278,1995,2004
1279,1974,1994
1280,1984,2005
1281,1974,2002
1282,1974,2002
1283,1974,2002
1284,1974,2002
1285,1990,1995
1286,1974,2002
1287,1955,2002
1288,1974,2002
1289,1993,2002
1290,1975,2002
1291,1963,1982
1292,1960,1980
1293,1975,1998
1294,1975,1998
1295,1969,1995
1296,1974,2002
1297,1991,2000
1298,1974,2002
1299,1974,2002
1300,1993,2002
1301,1975,1998
1302,1981,1998
1303,1962,2000
1304,1965,2000
1305,1984,1987
1306,1989,1995
1307,1976,1989
1308,1974,2002
1309,1974,2002
1310,1974,2002
1311,1990,1995
1312,1954,1980
1313,1963,1981
1314,1974,2002
1315,1974,2002
1316,1979,2002
1317,1990,1995
1318,1973,1991
1319,1993,2002
1320,1985,2002
1321,1974,2002
1322,1990,1995
1323,1976,1997
1324,1993,2002
1325,1966,1999
1326,1977,1995
1327,1993,2001
1328,1993,2000
1329,1990,2002
1330,1969,2002
1331,1971,2005
1332,1987,1997
1333,1984,2005
1334,1955,1997
1335,1965,1997
1336,1975,1998
1337,1983,1990
1338,1975,1998
1339,1975,1990
1340,1971,1991
1341,1985,1996
1342,1985,1996
1343,1985,1996
1344,1993,2000
1345,1991,2000
1346,1991,2000
1347,1991,2000
1348,1991,2000
1349,1991,2000
1350,1992,2000
1351,1991,2000
1352,1985,1996
1353,1976,1987
1354,1976,1986
1355,1988,1993
1356,1975,2001
1357,1997,1999
1358,1980,1996
1359,1973,1983
1360,1973,1983
1361,1994,1996
1362,1971,1990
1363,1979,1992
1364,1981,1999
1365,1986,1998
1366,1955,1997
1367,1985,1996
1368,1976,1990
1369,1974,1990
1370,1976,1990
1371,1980,1990
1372,1976,2009
1373,1970,1993
1374,1970,2000
1375,1971,1993
1376,1970,1993
1377,1975,1993
1378,1964,1991
1379,1955,1995
1380,1986,2002
1381,1970,1993
1382,1974,1993
1383,1974,1987
1384,1973,2004
1385,1991,2007
1386,1974,2008
1387,1974,1989
1388,1958,2002
1389,1967,1994
1390,1950,1998
1391,1950,1989
1392,1970,1989
1393,1967,1989
1394,1977,2007
1395,1978,2000
1396,1950,1996
1397,1986,2010
1398,1970,1990
1399,1970,1990
1400,1960,2007
1401,1967,1990
1402,1978,1990
1403,1973,1986
1404,1950,1989
1405,1972,1990
1406,1950,1996
1407,1950,2007
1408,1977,1987
1409,1951,1991
1410,1951,2010
1411,1964,1981
1412,1984,1994
1413,1967,1994
1414,1985,2017
1415,1966,2017
1416,1971,1994
1417,1978,2001
1418,1955,1992
1419,1985,1998
1420,1950,2009
1421,1978,2011
1422,1970,2004
1423,1955,2017
1424,1968,2010
1425,1971,2008
1426,1963,2010
1427,1984,2013
1428,1961,2017
1429,1997,2017
1430,1962,1992
1431,1988,2010
1432,1959,1993
1433,1974,1993
1434,1974,1997
1435,1959,1993
1436,1950,2011
1437,1958,2007
1438,1950,1994
1439,2007,2014
1440,1978,1998
1441,1983,2007
1442,1983,2000
1443,1983,2000
1444,1950,2014
1445,1963,1994
1446,1970,2000
1447,1978,1991
1448,1987,2011
1449,1987,2011
1450,1987,2011
1451,1970,1993
1452,1965,1986
1453,1980,1990
1454,1980,2016
1455,1978,1999
1456,1983,2005
1457,1982,1991
1458,1979,1987
1459,1979,1988
1460,1986,2010
1461,1984,2005
1462,1986,2011
1463,1977,2000
1464,1986,1995
1465,1986,1994
1466,1986,1991
1467,1950,2016
1468,1962,1978
1469,1973,1996
1470,1979,1997
1471,1978,2009
1472,1980,1996
1473,1970,2000
1474,1970,1999
1475,1961,1995
1476,1970,1998
1477,1962,1990
1478,1957,2017
1479,1978,2012
1480,1992,2011
1481,1993,2017
1482,1950,1987
1483,1962,1988
1484,1970,1997
1485,1950,1998
1486,1960,1991
1487,1950,1993
1488,1950,2014
1489,1985,1994
1490,1963,2012
1491,1982,1991
1492,1982,2012
1493,1971,1994
1494,1965,1992
1495,1976,1990
1496,1972,1992
1497,1965,1991
1498,1971,1993
1499,1955,1987
1500,1976,1990
1501,1955,1987
1502,1970,2003
1503,1964,1983
1504,1978,1989
1505,1982,2010
1506,1960,1985
1507,1978,2008
1508,1983,1991
1509,1981,2013
1510,1972,1991
1511,1983,1998
1512,1982,1990
1513,1970,1993
1514,1971,1993
1515,1973,2007
1516,1968,1986
1517,1973,1996
1518,1973,1996
1519,1977,2008
1520,1978,2006
1521,1980,2010
1522,1980,2010
1523,1964,2008
1524,1957,2017
1525,1961,2017
1526,1962,2009
1527,1963,1994
1528,1974,2008
1529,1960,2014
1530,1967,2017
1531,1980,1998
1532,1970,1993
1533,1970,2014
1534,1975,1999
1535,1970,1994
1536,1969,1988
1537,1964,2009
1538,1978,2010
1539,1977,1992
1540,1950,1980
1541,1970,1995
1542,1962,1997
1543,1972,1990
1544,1972,2008
1545,1971,1993
1546,1990,2000
1547,1969,1990
1548,1980,1989
1549,1990,2017
1550,1970,1993
1551,1970,2017
1552,1982,2017
1553,1969,2017
1554,1971,2017
1555,1984,2010
1556,1984,2008
1557,1957,2017
1558,1970,1990
1559,1970,1993
1560,1974,2017
1561,1970,1990
1562,1951,1993
1563,1984,1993
1564,1975,2016
1565,1961,1995
1566,1970,1991
1567,1974,2015
1568,1966,1983
1569,1972,1993
1570,1985,1994
1571,1982,1996
1572,1975,1993
1573,1976,1993
1574,1974,1994
1575,1970,1994
1576,1970,1994
1577,1984,2006
1578,1970,1986
1579,1970,1998
1580,1970,1998
1581,1950,2012
1582,1970,2000
1583,1986,2005
1584,1986,2003
1585,1986,2005
1586,1970,2000
1587,1950,1994
1588,1970,2000
1589,1986,2005
1590,1969,1993
1591,1967,1988
1592,1966,1985
1593,1974,1994
1594,1967,1990
1595,1970,1996
1596,1970,1996
1597,1960,1997
1598,1960,1997
1599,1976,1996
1600,1980,1990
1601,1950,1990
1602,1950,1990
1603,1950,1990
1604,1991,1999
1605,1950,1992
1606,1980,1995
1607,1980,1995
1608,1980,1995
1609,1980,1995
1610,1980,1995
1611,1980,1995
1612,1960,1996
1613,1950,1997
1614,1970,1996
1615,1985,1995
1616,1960,1993
1617,1988,1999
1618,1980,1990
1619,1988,1999
1620,1980,1990
1621,1988,1999
1622,1950,1990
1623,1991,2000
1624,1988,1999
1625,1980,1990
1626,1988,1999
1627,1988,1999
1628,1980,1990
1629,1980,1991
1630,1970,2000
1631,1970,2000
1632,1970,2000
1633,1970,2000
1634,1970,2000
1635,1970,2000
1636,1970,2000
1637,1985,2005
1638,1983,2005
1639,1970,1996
1640,1970,2000
1641,1970,2000
1642,1970,2000
1643,1983,1999
1644,1982,1999
1645,1970,2000
1646,1970,2000
1647,1982,1999
1648,1991,2000
1649,1991,1999
1650,1992,2001
1651,1991,2000
1652,1970,2000
1653,1970,2000
