"Binomial","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","global_abundance","max_growth_rate","Body.Mass.gram."
"Buteo regalis",0.00787944301429636,0.0075363908838489,0.00689467713803212,0.0060298135512026,0.00511413364521461,0.0043574133478058,0.00391448815106989,0.00381276717016068,0.00395245698133976,0.00418520701978836,0.0044099096737978,0.00461042912546054,0.00482298658127126,0.00508578040344811,0.00541454210348139,0.00579699577996895,0.00618893683523823,0.00652476456744444,0.00675395282347172,0.00687241249151592,0.00691005512442001,0.00689120869124893,0.00682189568112539,0.00671517798814003,0.00660736428626469,206156,0.00787944301429636,1470
"Buteo swainsoni",0.0052713024097859,0.00516798962819464,0.00506807969051186,0.00497922248600015,0.00491042661902158,0.0523703270652882,0.00319411687613904,0.00320560041924876,0.00323995424457519,0.00329022714788178,0.00335166550470511,0.00342142294469262,0.00349609211440074,0.00357059442869444,0.00364072594732529,0.00370548237616456,0.00376476229603375,0.00381603966052076,0.00385657293490152,0.00388839158498783,0.00391676137501441,0.00394247954187723,0.00395988066738552,0.00396512596956421,0.00396283102675086,4099774,0.0523703270652882,959
"Buteogallus anthracinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,NA,NA,NA,1703763,0.301029995663981,996
"Buteogallus meridionalis",NA,NA,NA,NA,NA,0.0602059991327963,0.0602059991327962,0.0602059991327962,0.0602059991327963,0.0602059991327963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2588070,0.0602059991327963,808
"Cacatua galerita",0.0187839305391746,0.0265586864228089,0.018261824696161,-0.000399485915955289,-0.0143491647083436,-0.0115071462648288,0.00733887972107627,0.0302135240050074,0.044312004769526,0.044692206528675,0.0349037216614418,0.0219852187605265,0.0118608998287413,0.00780467052669409,0.0104930828908525,0.0179907025662975,0.0262208095262995,0.0311195743133144,NA,NA,NA,NA,NA,NA,NA,10046531,0.044692206528675,724
"Cacicus chrysopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,871763,-1,36.5
"Cairina moschata",0.0735953570589189,0.073595357058919,0.0735953570589187,0.073595357058919,0.0735953570589188,-0.108813608870055,-0.108813608870055,-0.108813608870055,-0.108813608870055,-0.108813608870055,NA,NA,NA,NA,NA,NA,NA,0.00937271479322202,-0.64996683711971,1,NA,NA,NA,NA,NA,6489593,1,2450
"Calamospiza melanocorys",0.0178427093492917,0.0141704478183164,0.00530088312893258,-0.00799720117126453,-0.0255253177377619,-0.16214402055616,-0.0869773730379557,-0.0883686564666605,-0.0719638951678832,-0.0473460443446488,-0.0244087297886859,-0.00696271185533454,0.00501814438970849,0.0103397016201829,0.00630973059503187,-0.00816223573637631,-0.0320820822823383,-0.064050593448826,-0.100158664170301,-0.12871948720575,-0.132056975979932,-0.1007491297094,-0.0481144878368244,-0.00553605935350327,0.00293814751205352,21653109,0.0178427093492917,37.6
"Calandrella brachydactyla",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2362251563664,-0.0509630965805574,-0.104805806783808,0.00979427097285843,0.123350680229609,-0.0187231611441109,-0.248657738736673,-0.339611641942938,-0.209769555487208,-0.0366335803854796,-0.0356639828256687,-0.030424895548348,-0.0245610988714414,-0.0187009349307586,-0.0123786402818993,-0.00479580468949398,32732592,0.2362251563664,19
"Calcarius lapponicus",0.269619065146947,-0.294652365291615,0.155379400889263,0.101723014185351,-0.0250333001446676,-0.0250333001446676,-0.0250333001446676,-0.0250333001446676,-0.00572220216597541,-0.00318846819353025,0.00127998139947194,0.00646036367328306,0.011851233670668,0.00589434606381204,0.00709149667447356,0.0110172334318828,0.0141493935003314,0.0157404350617514,0.0159009806734116,0.0154241129797249,-0.0132315380206463,0.236224011132915,-0.264353272447338,-0.043167754554747,0.321417171135244,154820347,0.321417171135244,27.9
"Calcarius ornatus",-0.0193185585785405,-0.0184813072683186,-0.0182255486945815,-0.0186278692863697,-0.019947887036109,0.00632668438868085,-0.0278058311534053,-0.0304489874562686,-0.0345028669186237,-0.039526300277144,-0.0429236182342755,-0.0424358580932111,-0.0382384432709313,-0.0321274905132293,-0.0257954062110906,-0.0205901561844325,-0.0177925383797547,-0.0179676714299073,-0.0205133624608835,-0.0244456271694355,-0.0289177300536983,-0.03254256156117,-0.0335707619613476,-0.0319758176517742,-0.0302619668252285,10245424,0.00632668438868085,20.3
