"Binomial","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","Class"
"Anser caerulescens",0.0455068568083637,0.0466160521937191,0.0314271908635511,0.0292601557139557,0.0467646696763328,-0.0376969100048487,0.141619482596222,0.0161254219855033,0.0122323756170113,0.0158467288869884,0.019558821771376,0.0150279143772972,-0.0229418395065744,0.00275049501441323,0.0031227004691478,0.00358499994156853,0.00425527138862888,0.440400746251229,0.00988473403326573,-0.00670600854912662,-0.0163663799875882,-0.0140568840472999,-0.00325648741734552,0.00722161820185674,0.0116037586543212,"Aves"
"Anser canagicus",0.0235013292484014,0.0411227628340538,0.0370702161826215,0.0117926960618502,-0.0174517224280506,-0.0282827546440543,-0.020076013571191,-0.0150606489621295,-0.0192523886729263,-0.0309145553480498,-0.0307937310016807,-0.0121099920722102,0.00692045949832942,0.00442390771637495,-0.0164321154014066,-0.0304937414095567,-0.0199654268875363,0.0103924743478603,0.0559501179483477,0.0394386675723948,0.0112115779453656,0.00301108915248705,-0.00872300732853315,NA,NA,"Aves"
"Anser erythropus",-0.12523663098467,-0.160329351027548,-0.0965362888716456,0.0702149033915874,0.11134378184386,0.0727435921328698,0.0434134791604104,-0.0154690483659987,0.0432496866086595,0.136631473883514,0.0228612704131182,0.0822517141943494,-0.265386314751017,0.161252755200596,-0.0690796624888099,0.110632677440515,0.0512148488451413,-0.295210384625968,-0.0607151905383417,-0.0112470393930556,0.135952038574961,-0.177384637703578,0.0153715722036933,0.317540872683357,NA,"Aves"
"Anser fabalis",-0.08978340291785,7.64378196002437e-05,-0.0669617596037196,0.0103599758531604,-0.0446923518388898,-0.0659128336093668,-0.0206073103695414,-0.0348398572164967,0.0403889210947666,0.0690535279314538,0.0410562751151015,-0.0339863951843122,-0.0218284852850527,-0.00350163708667645,-0.0728065472101562,-0.0221713600411966,-0.00196182722867094,-0.10062508619654,-0.0515971380157387,0.0156850301224302,0.0154780087602669,-0.00103989982719543,-0.000303043855172214,NA,NA,"Aves"
"Anser rossii",NA,NA,NA,NA,NA,NA,-0.0199510901264786,0.00481163724555511,0.0425962635463941,0.0724435277619353,0.0814698422052276,0.125681781581632,0.0534212417758955,0.0353536350868549,0.0237807426687811,0.0223626197041558,0.0300362200118398,0.0394339041966099,0.0416981613546659,0.0345052971193383,0.0233772029570183,0.0138063315985795,0.00436142925108385,-0.00960635640242025,-0.0266466882162275,"Aves"
"Antigone canadensis",0.0427607100443116,0.0482621235236453,0.030380777978229,0.0282034352392792,0.0297832203229526,-0.00888346818289711,0.0921646972556438,-0.0187343355586742,-0.010591734503354,-0.0136024622235519,-0.0138808501891577,-0.0143205592519774,-0.0139785346033481,-0.0125412854403738,-0.0105003096682007,-0.00822633435117175,-0.00578076221205422,0.184773249063344,0.040352107961007,0.0404461524409204,0.028684512315082,0.029310860383408,0.0351295988300671,0.0346639190837619,0.0331483040862084,"Aves"
"Antigone vipio",0.0119332512120551,0.0119332512120551,0.0119332512120551,0.0119332512120551,0.047625727578124,0.0476257275781236,0.047625727578124,0.047625727578124,0.047625727578124,0.0476257275781236,-0.105740920100988,-0.182300478106647,0.268820498326885,0.236095806299546,-0.042842326374644,-0.0428423263746436,-0.042842326374644,-0.247464325582064,0.0282337726849846,0.0282337726849842,-0.118556196239575,-0.118556196239575,0.180060118067103,0.180060118067104,-0.600377763988099,"Aves"
"Antrostomus vociferus",-0.0120259958281577,-0.0113756822856232,-0.0106646484525641,-0.00982251944817553,-0.00887104996540611,-0.00795955982228719,-0.0071485003526642,-0.0064139316155738,-0.00590965691663922,-0.00598874408110439,-0.00682290106732716,-0.0081323791267929,-0.00941947424022782,-0.0103709224920412,-0.0109264783595773,-0.0110961579957702,-0.0109230191723537,-0.0105795644460829,-0.0102730685452534,-0.0099973932245293,-0.00953126647219152,-0.00874567423382119,-0.00778590975262997,-0.00688839866857582,-0.00615627562404533,"Aves"
"Aplonis opaca",0.00635803285583281,0.247590841015346,0.235684460094509,-0.0271509866085408,-0.241376069223755,-0.200586897285535,-0.0273476449935214,0.0555016721793977,0.019129734509786,0.00274557368920678,0.00928807626377465,0.0114779349026867,0.0114779349026868,0.0114779349026868,0.0114779349026869,0.0114779349026867,0.0136996951139858,0.0136996951139858,0.0136996951139858,0.0136996951139858,NA,NA,NA,NA,NA,"Aves"
"Aptenodytes forsteri",0.0181468088984039,0.0163973466585823,0.0150150973918717,0.00906375984191874,0.0088008871544044,-0.0168204685993591,0.0117293016090017,-0.0582183059136246,0.0877226823399604,-0.0038348925363989,0.0147362251929096,-0.0190650607988569,0.016407363666686,-0.232657454836208,0.172568355668399,-0.0426666772116013,0.0209842433780031,-0.0966806175683588,0.0804487267486635,-0.192579999311523,0.108725678547788,-0.179299183958101,-0.1792991839581,0.375462143159124,NA,"Aves"
"Aptenodytes patagonicus",0.195988560527433,0.094890825256969,0.243000100641308,0.0279860297886977,0.0274033205191228,0.0271733385917928,0.115469148318074,0.0112605449015437,0.0117160085430927,0.0197208612232527,-0.019999270748906,0.0129638763626231,0.0136406667575535,-0.0318595923704379,0.0505137630682485,0.0507622009315702,-0.00778748447155486,-0.00778748447155531,-0.00778748447155531,-0.00778748447155486,-0.00778748447155531,NA,NA,NA,NA,"Aves"
"Aquila adalberti",0.0490847055860705,0.0488956853977446,0.0115591716913353,0.0104596406342472,0.00900586241437749,0.00742813311048347,0.00588046977713716,0.0319351978043392,0.0317258957442428,0.0327032106216619,0.0344973796501937,0.0360627812930132,0.0557599954362441,0.0611982833413009,0.0797573900891389,0.0508172654254468,0.0102186716044012,-0.0051649968957197,-0.00506130388259812,-0.00201769893278925,0.00824688039046761,0.021325207976138,0.0297095836312035,0.0327067782642266,NA,"Aves"
"Aquila fasciata",-0.0216367598448516,-0.021408944974706,-0.0219355887812922,-0.0188208326397834,-0.0162212751557462,-0.0152048019459382,-0.0162331177252666,-0.0164423861883749,-0.0125470332459882,-0.00237211404707693,0.0195046940709469,0.0357946844092598,0.0419177258285082,0.00931454719185054,0.009314547192802,0.0093145471942373,0.00931454719534996,0.00931454719564262,0.00931454719520097,0.00931454719440516,0.00931454719350433,0.00931454719250335,0.00931454719136515,0.00931454719023872,0.00931454718942892,"Aves"
