"Binomial","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","global_abundance","max_growth_rate","Body.Mass.gram."
"Conopophaga lineata",-0.0774563880979962,-0.0774563880979962,-0.0774563880979962,-0.0774563880979962,-0.0774563880979962,-0.0276605396332563,-0.0276605396332563,-0.0276605396332563,0.0151438712087031,0.0151438712087031,0.0579482820506623,0.0579482820506625,0.0579482820506625,0.0579482820506625,0.0579482820506623,0.0579482820506625,0.0579482820506623,0.0579482820506625,0.0579482820506625,0.0579482820506625,0.0579482820506624,NA,-0.0791812460476248,NA,-1,674123,0.0579482820506625,25.6
"Contopus cooperi",-0.00961668078101982,-0.0136162071196236,-0.0164895669344148,-0.0166673799743205,-0.0150460315840435,-0.0130604130704352,-0.0110170216746512,-0.00890019163493042,-0.00760716500423251,-0.00821215061227557,-0.0104207934968448,-0.0127046705375533,-0.0138954963713604,-0.0140063684760363,-0.0135857343724459,-0.012955241565837,-0.0122184482074381,-0.0115008483744391,-0.0109192072904723,-0.0105479098529643,-0.0105048555625046,-0.0108130797072466,-0.0110956926008762,-0.0107035969977783,-0.00937835855004083,2977451,-0.00760716500423251,32.1
"Contopus sordidulus",-0.0117306931178002,-0.00841488438915505,-0.0064697272880475,-0.00726011695970265,-0.00975613067277698,-0.0117305398820816,-0.012097796122497,-0.0119925488745083,-0.0131269882795808,-0.015699812343238,-0.018453116794871,-0.020273822582385,-0.0208489041306056,-0.0199161322506502,-0.0170502414457228,-0.0127571617406355,-0.00895181522764834,-0.00737157176374246,-0.00774258948507335,-0.00838339703692581,-0.00859172158903122,-0.0094250554687074,-0.0116712491785594,-0.0139782717167162,-0.0141204478045455,5478070,-0.0064697272880475,13.1
"Coturnicops noveboracensis",0.0270286262818304,0.0348549679883093,0.0377791166436405,0.0299792898902881,0.0168320611814457,0.0110492996830713,0.01931963317828,0.0345812093405635,0.0425632737565312,0.0353609884216251,0.0184403194081138,0.00521229297650244,0.00485926064967071,0.0145439570234993,0.0234724928183397,0.0252624793985565,0.0250559858827918,0.0316554457358718,0.0431767889947392,0.0459479405749434,0.0314704667063102,0.0104793305050516,0.00293954771988647,0.0139654124541773,0.0276101104867436,5582458,0.0459479405749434,60.9
"Crex crex",0.00623447425218523,0.00262582240146847,0.00602793797489886,0.00423230561466229,0.0519080603597401,0.0603248422335223,0.0548289328339644,0.115778994762033,-0.0877234644189577,0.204272621896131,0.151968504733912,-0.0454606284114728,-0.0046799437011192,0.0439628378233281,0.0609847911229784,0.0362896946800845,0.0179912957987227,-0.0851247628048966,0.01512203186982,0.0952555558380439,NA,NA,-0.113735804163387,-0.116920764592452,0.058080209244407,3177580,0.204272621896131,156
"Crypturellus soui",NA,NA,NA,NA,NA,NA,NA,NA,-0.00861336611107177,-0.00861336611107166,-0.00861336611107177,-0.00861336611107166,-0.00861336611107177,-0.00861336611107166,-0.00861336611107166,-0.00861336611107177,-0.00861336611107166,-0.00861336611107177,-0.00861336611107166,-0.00861336611107166,-0.00861336611107177,NA,NA,NA,NA,2991861,-0.00861336611107166,217
"Cygnus buccinator",0.0154909413222256,0.0154909413222169,0.0776864444918413,0.0776864444916621,0.0776864444914365,0.0776864444911423,0.0776864444907504,0.0776864444902579,0.0776864444896714,0.0776864444889636,0.0776864444880938,0.0776864444870726,0.077686444485987,0.0776864444849408,0.0776864444839673,0.0776864444830466,0.0776864444821815,0.077686444481445,0.077686444480916,0.0776864444806198,0.0776864444805266,0.0776864444805936,0.0776864444807677,0.0776864444809643,0.0776864444810913,6978643,0.0776864444918413,11100
"Dacnis cayana",0.0443697499232714,0.0443697499232711,0.0443697499232714,0.0443697499232713,0.0443697499232713,-0.104575749056067,-0.104575749056068,-0.104575749056067,-0.0254044128228022,-0.0254044128228022,0.053766923410463,0.053766923410463,0.053766923410463,0.053766923410463,0.053766923410463,0.0537669234104631,0.0537669234104629,0.216989082561035,0.053766923410463,0.053766923410463,0.053766923410463,NA,NA,NA,NA,8107552,0.216989082561035,13
"Dasyornis brachypterus",NA,NA,-0.110931220439997,-0.108613674437443,-0.103978582432332,-0.0970259444246648,-0.0877557604144441,-0.076168030401667,-0.0622627543863343,-0.0464784765838133,-0.0308318528140286,-0.0169132884468701,-0.00547357328055553,0.00290409281580772,0.00734294455247686,0.00710881513738837,0.00229693944939835,-0.00626949712415659,-0.0148553953583155,-0.0197737747768663,NA,NA,NA,NA,NA,3754,0.00734294455247686,41.8
"Dendrocopos syriacus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033368814982266,0.0204853797164382,0.00523087541886502,-0.00125289165910125,-0.000480188044682972,-0.00267018829874521,-0.0137441814132413,-0.0313151009111188,-0.0498197718066811,-0.0634934418493114,-0.0659022722615277,-0.0533043394400383,-0.0297953940923206,2793245,0.033368814982266,76.8
