"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches"
"Notopholia corrusca","Notopholia corusca",FALSE,1,885156,TRUE,"",1
"Emberiza striolata","Fringillaria striolata",FALSE,1,516966,TRUE,"",1
"Petrochelidon preussi","Hirundo preussi",FALSE,1,487365,TRUE,"",1
"Nomonyx dominicus","Nomonyx dominica",FALSE,1,892281,TRUE,"",1
"Orochelidon andecola","Haplochelidon andecola",TRUE,0.818181812763214,16185,FALSE,"",1
"Cantorchilus modestus","Thryothorus modestus",FALSE,1,720616,TRUE,"",1
"Setopagis parvula","Setopagis parvulus",FALSE,1,624334,TRUE,"",1
"Chrysococcyx basalis","Chalcites basalis",FALSE,1,664650,TRUE,"",1
"Pternistis afer","Francolinus afer",FALSE,1,676791,TRUE,"",1
"Geranoaetus albicaudatus","Buteo albicaudatus",FALSE,1,458094,TRUE,"sibling_higher",1
"Pternistis bicalcaratus","Francolinus bicalcaratus",FALSE,1,681145,TRUE,"",1
"Tarphonomus certhioides","Upucerthia certhioides",FALSE,1,428136,TRUE,"",1
"Megalurus cruralis","Cincloramphus cruralis",FALSE,1,337752,TRUE,"",1
"Geopelia maugeus","Geopelia maugei",FALSE,1,3596614,TRUE,"",1
"Pteruthius aeralatus","Pteruthius flaviscapis aeralatus",FALSE,1,360218,TRUE,"infraspecific",1
"Thraupis abbas","Tangara abbas",FALSE,1,680948,TRUE,"",1
"Oceanodroma castro","Hydrobates castro",FALSE,1,496011,TRUE,"",1
"Granatina granatina","Uraeginthus granatina",FALSE,1,778440,TRUE,"",1
"Phylloscopus tenellipes","Seicercus tenellipes",FALSE,1,505346,TRUE,"",1
"Myiothlypis fulvicauda","Basileuterus fulvicauda",FALSE,1,357657,TRUE,"",1
"Lybius bidentatus","Pogonornis bidentatus",FALSE,1,291636,TRUE,"",1
"Phalacrocorax chalconotus","Leucocarbo chalconotus",FALSE,1,480890,TRUE,"",1
"Dryobates scalaris","Picoides scalaris",FALSE,1,701702,TRUE,"sibling_higher",1
"Atticora pileata","Notiochelidon pileata",FALSE,1,1063653,TRUE,"",1
"Phaenicophaeus tristis","Rhopodytes tristis",FALSE,1,3601097,TRUE,"sibling_higher",1
"Ianthocincla lanceolata","Garrulax ocellatus",TRUE,0.809523820877075,401603,FALSE,"",1
"Hylopsar purpureiceps","Lamprotornis purpureiceps",FALSE,1,793157,TRUE,"sibling_higher",1
"Isleria hauxwelli","Myrmotherula hauxwelli",FALSE,1,872132,TRUE,"sibling_higher",1
"Crithagra leucopygia","Serinus leucopygius",FALSE,1,559271,TRUE,"sibling_higher",1
"Sappho sparganurus","Sappho sparganura",TRUE,0.882352948188782,547311,FALSE,"",1
"Gymnornis superciliaris","Gymnoris superciliaris",TRUE,0.954545438289642,3597469,FALSE,"",2
"Phylidonyris pyrrhopterus","Phylidonyris pyrrhoptera",FALSE,1,927344,TRUE,"",1
"Cercomacroides nigrescens","Cercomacra nigrescens",FALSE,1,797060,TRUE,"",1
"Pachysylvia hypoxantha","Hylophilus hypoxanthus",FALSE,1,968228,TRUE,"",1
"Delichon nipalense","Delichon nipalensis",FALSE,1,67920,TRUE,"",1
"Turdoides squamiceps","Argya squamiceps",FALSE,1,861275,TRUE,"",1
"Chaetocercus mulsant","Chaetocercus mulsanti",FALSE,1,18711,TRUE,"",1
"Tauraco porphyreolophus","Gallirex porphyreolophus",FALSE,1,236083,TRUE,"",1
"Ixobrychus flavicollis","Dupetor flavicollis",FALSE,1,928976,TRUE,"",1
"Cinnyris talatala","Nectarinia talatala",FALSE,1,286085,TRUE,"",1
"Phylloscopus yunnanensis","Abrornis yunnanensis",FALSE,1,803128,TRUE,"",1
"Tunchiornis ochraceiceps","Hylophilus ochraceiceps",FALSE,1,669572,TRUE,"",1
"Platysteira castanea","Dyaphorophyia castanea",FALSE,1,471073,TRUE,"",1
"Hypsipetes philippinus","Ixos philippinus",FALSE,1,434229,TRUE,"",1
"Mimus parvulus","Nesomimus parvulus",FALSE,1,1083046,TRUE,"",1
"Mazaria propinqua","Synallaxis propinqua",FALSE,1,885458,TRUE,"",1
"Lonchura nana","Lepidopygia nana",FALSE,1,596763,TRUE,"",1
"Ochetorhynchus phoenicurus","Eremobius phoenicurus",FALSE,1,954160,TRUE,"",1
"Schoeniparus castaneceps","Alcippe castaneceps",FALSE,1,1084789,TRUE,"",1
"Sylvia subcaerulea","Curruca subcoerulea",FALSE,1,486279,TRUE,"",1
"Anser canagicus","Anser canagica",FALSE,1,166688,TRUE,"",1
"Myiothlypis bivittata","Basileuterus bivittatus",FALSE,1,994339,TRUE,"",1
"Periparus elegans","Pardaliparus elegans",FALSE,1,222474,TRUE,"",1
"Ptiloxena atroviolacea","Dives atroviolaceus",FALSE,1,3597163,TRUE,"",1
"Pica nuttalli","Pica nutalli",FALSE,1,570503,TRUE,"",1
"Megapomatorhinus gravivox","Erythrogenys gravivox",TRUE,0.809523820877075,3598455,FALSE,"",1
"Coccopygia quartinia","Estrilda quartinia",FALSE,1,617307,TRUE,"sibling_higher",1
"Fulvetta vinipectus","Alcippe vinipectus",FALSE,1,360236,TRUE,"",1
"Cyanoderma chrysaeum","Cyanoderma chrysaea",TRUE,0.89473682641983,174119,FALSE,"",1
"Tiaris canorus","Tiaris canora",FALSE,1,349675,TRUE,"",1
"Phylloscopus forresti","Abrornis forresti",FALSE,1,1002596,TRUE,"",1
"Oceanodroma matsudairae","Hydrobates matsudairae",FALSE,1,3595640,TRUE,"",1
"Cracticus quoyi","Melloria quoyi",FALSE,1,439420,TRUE,"",1
"Procarduelis nipalensis","Carpodacus nipalensis",FALSE,1,815420,TRUE,"sibling_higher",1
"Chlidonias albostriatus","Sterna albostriata",FALSE,1,341038,TRUE,"",1
"Neophema bourkii","Neopsephotus bourkii",FALSE,1,108574,TRUE,"",1
"Diglossa cyanea","Diglossopis cyanea",FALSE,1,6566,TRUE,"",1
"Tarsiger rufilatus","Luscinia rufilata",FALSE,1,3598801,TRUE,"",1
"Granatina ianthinogaster","Uraeginthus ianthinogaster",FALSE,1,778426,TRUE,"",1
"Dryobates mixtus","Tribates mixtus",TRUE,0.800000011920929,7679289,FALSE,"hidden",1
"Atimastillas flavicollis","Chlorocichla flavicollis",FALSE,1,859167,TRUE,"sibling_higher",1
"Ictinaetus malaiensis","Ictinaetus malayensis",TRUE,0.952380955219269,626720,FALSE,"",1
"Turdoides earlei","Argya earlei",FALSE,1,3598521,TRUE,"",1
"Pachysylvia muscicapina","Hylophilus muscicapinus",FALSE,1,227778,TRUE,"",1
"Psilopsiagon aymara","Bolborhynchus aymara",FALSE,1,57356,TRUE,"",1
"Phylloscopus maculipennis","Abrornis maculipennis",FALSE,1,930302,TRUE,"",1
"Lewinia striata","Spixia striata",TRUE,0.823529422283173,7501198,FALSE,"",7
"Yungipicus moluccensis","Dendrocopos moluccensis",FALSE,1,377175,TRUE,"sibling_higher",1
"Phylloscopus montis","Phylloscopus amoenus",TRUE,0.800000011920929,71802,FALSE,"",2
"Myiothlypis rivularis","Basileuterus rivularis",FALSE,1,817143,TRUE,"",1
"Phylloscopus ijimae","Seicercus ijimae",FALSE,1,908755,TRUE,"",1
"Crithagra albogularis","Serinus albogularis",FALSE,1,238143,TRUE,"sibling_higher",1
"Rhynchospiza strigiceps","Aimophila strigiceps",FALSE,1,630694,TRUE,"",1
"Cyanoderma erythropterum","Cyanoderma erythroptera",TRUE,0.91304349899292,265350,FALSE,"",1
"Fregetta maoriana","Oceanites maorianus",FALSE,1,49107,TRUE,"",1
"Emberiza yessoensis","Schoeniclus yessoensis",FALSE,1,1094092,TRUE,"",1
"Symposiachrus trivirgatus","Monarcha trivirgatus",FALSE,1,921356,TRUE,"",1
"Aglaiocercus kingii","Aglaiocercus kingi",FALSE,1,690704,TRUE,"",1
"Cyornis olivaceus","Rhinomyias olivaceus",FALSE,1,676568,TRUE,"",1
"Psilopogon oorti","Megalaima oorti",FALSE,1,738735,TRUE,"",1
"Iduna natalensis","Chloropeta natalensis",FALSE,1,869011,TRUE,"sibling_higher",1
"Turdoides rubiginosa","Argya rubiginosa",FALSE,1,177063,TRUE,"",1
"Pheugopedius rutilus","Thryothorus rutilus",FALSE,1,647112,TRUE,"",1
"Phalacrocorax georgianus","Leucocarbo georgianus",FALSE,1,221814,TRUE,"",1
"Buteogallus schistaceus","Leucopternis schistaceus",FALSE,1,523012,TRUE,"",1
"Pternistis leucoscepus","Francolinus leucoscepus",FALSE,1,914709,TRUE,"",1
"Spermestes fringilloides","Lonchura fringilloides",FALSE,1,24017,TRUE,"sibling_higher",1
"Lybius dubius","Pogonornis dubius",FALSE,1,789437,TRUE,"",1
"Rhea pennata","Pterocnemia pennata",FALSE,1,857860,TRUE,"",1
"Cinnyris erythrocercus","Nectarinia erythrocerca",FALSE,1,286091,TRUE,"",1
"Turdinus sepiarius","Malacocincla sepiaria",FALSE,1,405545,TRUE,"",1
"Dendrocoptes medius","Dendrocopos medius",FALSE,1,499959,TRUE,"sibling_higher",1
"Schoeniparus dubius","Alcippe dubia",TRUE,0.888888895511627,321215,FALSE,"",1
"Nigrita canicapillus","Nigrita canicapilla",FALSE,1,185260,TRUE,"",1
"Antigone antigone","Grus antigone",FALSE,1,414358,TRUE,"",1
"Columba larvata","Aplopelia larvata",FALSE,1,3596487,TRUE,"",1
"Geokichla wardii","Zoothera wardii",FALSE,1,492722,TRUE,"sibling_higher",1
"Larvivora brunnea","Luscinia brunnea",FALSE,1,153332,TRUE,"",1
"Ianthocincla davidi","Janthocincla davidi",TRUE,0.947368443012238,7662190,FALSE,"major_rank_conflict",3
"Alaudala raytal","Calandrella raytal",TRUE,0.846153855323792,3597511,FALSE,"",1
"Caprimulgus longipennis","Macrodipteryx longipennis",FALSE,1,903620,TRUE,"",1
"Paroaria nigrogenis","Paroaria gularis nigrogenis",FALSE,1,812421,TRUE,"infraspecific",1
"Coccopygia melanotis","Estrilda melanotis",FALSE,1,617304,TRUE,"sibling_higher",1
"Aquila fasciata","Hieraaetus fasciatus",FALSE,1,283160,TRUE,"sibling_higher",1
"Tiaris obscurus","Tiaris obscura",FALSE,1,422527,TRUE,"",1
"Zapornia tabuensis","Porzana tabuensis",FALSE,1,32328,TRUE,"",1
"Crithagra gularis","Serinus gularis",FALSE,1,903272,TRUE,"sibling_higher",1
"Cantorchilus guarayanus","Thryothorus guarayanus",FALSE,1,932495,TRUE,"",1
"Megapomatorhinus erythrogenys","Erythrogenys erythrogenys",FALSE,1,25618,TRUE,"",1
"Rhamphococcyx calyorhynchus","Zanclostomus calyorhynchus",FALSE,1,3602520,TRUE,"sibling_higher",1
"Pternistis swainsonii","Francolinus swainsonii",FALSE,1,55577,TRUE,"",1
"Ptilinopus greyi","Ptilinopus greyii",TRUE,0.941176474094391,3596580,FALSE,"",1
"Schoeniparus brunneus","Alcippe brunnea",TRUE,0.899999976158142,670233,FALSE,"",1
"Pternistis natalensis","Francolinus natalensis",FALSE,1,55592,TRUE,"",1
"Cantorchilus nigricapillus","Thryothorus nigricapillus",FALSE,1,647109,TRUE,"",1
"Spinus thibetanus","Serinus thibetanus",FALSE,1,903269,TRUE,"sibling_higher",1
"Pseudastur albicollis","Leucopternis albicollis",FALSE,1,624768,TRUE,"",1
"Zimmerius parvus","Zimmerius vilissimus parvus",FALSE,1,5560431,TRUE,"infraspecific",1
"Eupodotis afraoides","Afrotis afraoides",FALSE,1,784565,TRUE,"",1
"Lophotriorchis kienerii","Hieraaetus kienerii",FALSE,1,1870,TRUE,"sibling_higher",1
"Suthora nipalensis","Paradoxornis nipalensis",FALSE,1,552302,TRUE,"",1
"Leucogeranus leucogeranus","Grus leucogeranus",TRUE,0.818181812763214,832271,FALSE,"",1
"Corvinella melanoleuca","Urolestes melanoleucus",FALSE,1,3597871,TRUE,"",1
"Phylloscopus chloronotus","Abrornis chloronotus",FALSE,1,118843,TRUE,"",1
"Phaeochroa cuvierii","Campylopterus cuvierii",FALSE,1,62609,TRUE,"sibling_higher",1
"Iole indica","Acritillas indica",FALSE,1,3598344,TRUE,"",1
"Mulleripicus pulverulentus","Dryocopus pulverulentus",FALSE,1,3600183,TRUE,"",1
"Gymnornis pyrgita","Gymnorhis pyrgita",TRUE,0.941176474094391,7658314,FALSE,"major_rank_conflict",2
